2.80	5.38	-14.50	100.00
11.00	5.45	-14.43	100.00
16.87	5.87	-12.55	86.05
22.96	6.18	-8.89	61.10
32.31	6.02	-6.38	43.04
41.57	5.42	-4.67	32.42
50.41	4.70	-2.89	27.81
58.53	4.00	-1.21	25.32
65.75	3.40	0.13	24.26
71.97	2.91	1.11	24.10
77.19	2.54	1.86	24.10
78.71	2.43	2.08	24.10
80.14	2.33	2.28	24.10
82.71	2.13	2.64	24.10
84.93	1.90	2.95	24.10
86.83	1.63	3.18	24.10
88.45	1.18	3.36	24.10
89.17	0.60	3.43	24.10
