#x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative thickness
#[m]	[m]	[m]	[deg]	[m]	[-]	[-]
0.000000000000E+00	-1.645137910577E-02	6.689467254148E+00	-1.450000000000E+01	5.380451488888E+00	4.999961205671E-01	9.839003535893E+01
0.000000000000E+00	-1.855827168895E-02	7.141251646021E+00	-1.450000000000E+01	5.380294534124E+00	4.999974692060E-01	9.764536215983E+01
0.000000000000E+00	-2.066674173458E-02	7.592681022197E+00	-1.450000000000E+01	5.379914283999E+00	5.000007116008E-01	9.674092688322E+01
0.000000000000E+00	-2.284547537859E-02	8.054378699275E+00	-1.450000000000E+01	5.379751885977E+00	4.999945621253E-01	9.565262819634E+01
0.000000000000E+00	-2.515515404265E-02	8.526430321322E+00	-1.450000000000E+01	5.381529583505E+00	4.999286486261E-01	9.440290722407E+01
0.000000000000E+00	-2.761909979399E-02	9.008913740200E+00	-1.450000000000E+01	5.386783029664E+00	4.996533181680E-01	9.300067655730E+01
0.000000000000E+00	-3.023193781358E-02	9.501898471739E+00	-1.449668192141E+01	5.396726612874E+00	4.989608630419E-01	9.144366670079E+01
0.000000000000E+00	-3.299149280258E-02	1.000544501107E+01	-1.448460756042E+01	5.411555763310E+00	4.977452091168E-01	8.973473399406E+01
0.000000000000E+00	-3.589723142628E-02	1.051960433754E+01	-1.446540908612E+01	5.430897665794E+00	4.959537837573E-01	8.788028273892E+01
0.000000000000E+00	-3.895054933841E-02	1.104441741466E+01	-1.442846136509E+01	5.454487260780E+00	4.935554171691E-01	8.588755929366E+01
0.000000000000E+00	-4.215530609178E-02	1.157991468933E+01	-1.437562396520E+01	5.482208607213E+00	4.905454761254E-01	8.376457102957E+01
0.000000000000E+00	-4.551642343969E-02	1.212611560148E+01	-1.430300205679E+01	5.513908125250E+00	4.869203774148E-01	8.152098210719E+01
0.000000000000E+00	-4.904558280826E-02	1.268303114348E+01	-1.420026861961E+01	5.549328260340E+00	4.826585394810E-01	7.916855896242E+01
0.000000000000E+00	-5.275780303669E-02	1.325064799197E+01	-1.407276966340E+01	5.588134749340E+00	4.777310080894E-01	7.672115851797E+01
0.000000000000E+00	-5.666849410853E-02	1.382896209876E+01	-1.391228138774E+01	5.629940395882E+00	4.721413299915E-01	7.419445138649E+01
0.000000000000E+00	-6.079034011646E-02	1.441793142040E+01	-1.371097335794E+01	5.674307275082E+00	4.660368947383E-01	7.160586743462E+01
0.000000000000E+00	-6.513589378131E-02	1.501752622102E+01	-1.347760444450E+01	5.720740967612E+00	4.596215680426E-01	6.897474549775E+01
0.000000000000E+00	-6.971793076490E-02	1.562768036465E+01	-1.320700552658E+01	5.768685651249E+00	4.530977520331E-01	6.632300169419E+01
0.000000000000E+00	-7.454898056034E-02	1.624832666323E+01	-1.289033262044E+01	5.817541185393E+00	4.465532285849E-01	6.367621478606E+01
0.000000000000E+00	-7.964169569237E-02	1.687938022791E+01	-1.254124119391E+01	5.866648180271E+00	4.400399167292E-01	6.106296835572E+01
0.000000000000E+00	-8.500917039765E-02	1.752074140185E+01	-1.216362952443E+01	5.915272797047E+00	4.336136433637E-01	5.851403711935E+01
0.000000000000E+00	-9.066544792953E-02	1.817229545438E+01	-1.174345966913E+01	5.962529650712E+00	4.273254965046E-01	5.605799773447E+01
0.000000000000E+00	-9.662533347714E-02	1.883391232828E+01	-1.130374580740E+01	6.007404559563E+00	4.212246772856E-01	5.372267753256E+01
0.000000000000E+00	-1.029040579376E-01	1.950544642892E+01	-1.086772653021E+01	6.048805513586E+00	4.153634665475E-01	5.153754956080E+01
0.000000000000E+00	-1.095173275681E-01	2.018673643585E+01	-1.041320176404E+01	6.085911976629E+00	4.097807190185E-01	4.951884418400E+01
0.000000000000E+00	-1.164813409267E-01	2.087760516214E+01	-9.961733584128E+00	6.118383049491E+00	4.044919554534E-01	4.766063698980E+01
0.000000000000E+00	-1.238126493750E-01	2.157785947922E+01	-9.553805205331E+00	6.145912829238E+00	3.995104506365E-01	4.595384793844E+01
0.000000000000E+00	-1.315280986778E-01	2.228729027317E+01	-9.200226469610E+00	6.168240076344E+00	3.948459829412E-01	4.438856870098E+01
0.000000000000E+00	-1.396447477533E-01	2.300567243546E+01	-8.874476548717E+00	6.185355756670E+00	3.904916951551E-01	4.295678835036E+01
0.000000000000E+00	-1.481798448356E-01	2.373276493885E+01	-8.576795406518E+00	6.197351800600E+00	3.864336703870E-01	4.165036139782E+01
0.000000000000E+00	-1.571507823999E-01	2.446831095932E+01	-8.306977676404E+00	6.204345545458E+00	3.826557624183E-01	4.045997427738E+01
0.000000000000E+00	-1.665749834470E-01	2.521204212917E+01	-8.059684250306E+00	6.206443572511E+00	3.791432281300E-01	3.937411810830E+01
0.000000000000E+00	-1.764695389615E-01	2.596365825702E+01	-7.831098614347E+00	6.203730405219E+00	3.758839792837E-01	3.837880371355E+01
0.000000000000E+00	-1.868518473863E-01	2.672287281745E+01	-7.617985510363E+00	6.196309291150E+00	3.728643075319E-01	3.745866039115E+01
0.000000000000E+00	-1.977387461360E-01	2.748935136731E+01	-7.418744386535E+00	6.184302714355E+00	3.700705575846E-01	3.659877401121E+01
0.000000000000E+00	-2.091474312244E-01	2.826277850650E+01	-7.232592975024E+00	6.167838802582E+00	3.674973456258E-01	3.579303926937E+01
0.000000000000E+00	-2.210943657746E-01	2.904279112405E+01	-7.055405187859E+00	6.147060921017E+00	3.651420836718E-01	3.503856664428E+01
0.000000000000E+00	-2.335961648972E-01	2.982904676559E+01	-6.883078519983E+00	6.122131176961E+00	3.630011840971E-01	3.433211528066E+01
0.000000000000E+00	-2.466684601531E-01	3.062115575946E+01	-6.717564463450E+00	6.093216630861E+00	3.610667722453E-01	3.367074799182E+01
0.000000000000E+00	-2.603269089580E-01	3.141875078295E+01	-6.557537467882E+00	6.060472673218E+00	3.593233161988E-01	3.305231564165E+01
